Filepath,Color_1,Confidence_1
logos/bcurelaser.com.png,"(75, 65, 59)",1.0
logos/synergie.com.png,"(242, 155, 160)",1.0
logos/luminishealthcareers.org.png,"(232, 221, 246)",1.0
logos/linde-gas.sk.png,"(16, 101, 155)",1.0
logos/savethechildren.org.uk.png,"(242, 188, 184)",1.0
logos/ovb.ro.png,"(35, 78, 122)",1.0
logos/mazda-autohaus-fritsche-grossschoenau.de.png,"(124, 123, 124)",1.0
logos/honda-metz.com.png,"(245, 178, 189)",1.0
logos/aamcoglendaleoldtown.com.png,"(118, 109, 134)",1.0
logos/fmlogistic.cz.png,"(245, 188, 188)",1.0
logos/mazda-autohaus-hamester-hamburg-bergedorf.de.png,"(101, 100, 101)",1.0
logos/edenred.com.uy.png,"(245, 179, 175)",1.0
logos/pkf-dominicana.com.png,"(112, 119, 114)",1.0
logos/subway.com.tw.png,"(96, 129, 13)",1.0
logos/fluidmasteruk.com.png,"(201, 26, 32)",1.0
logos/toyotagocmenturk.com.tr.png,"(217, 218, 219)",1.0
logos/aamcoalbuquerque.com.png,"(164, 122, 141)",1.0
logos/toyota-magny.fr.png,"(243, 243, 243)",1.0
logos/aamcocatonsvillemd.com.png,"(118, 109, 134)",1.0
logos/nestle.se.png,"(236, 234, 231)",1.0
logos/tanameracoffee.com.png,"(122, 27, 31)",1.0
logos/stosignature.com.png,"(190, 156, 5)",1.0
logos/pkf.com.tr.png,"(222, 222, 222)",1.0
logos/servier.ru.png,"(103, 51, 84)",1.0
logos/greatplacetowork.mu.png,"(232, 47, 46)",1.0
logos/servier.com.ar.png,"(236, 229, 233)",1.0
logos/axa.dz.png,"(45, 39, 154)",1.0
logos/mazda-autohaus-hansmann-kassel.de.png,"(124, 123, 124)",1.0
logos/veolia.bg.png,"(253, 248, 248)",1.0
logos/aamcopottstownpa.com.png,"(118, 109, 134)",1.0
logos/smittysmb.ca.png,"(250, 226, 226)",1.0
logos/aquatherm-belux.be.png,"(221, 227, 222)",1.0
logos/bakertilly.cl.png,"(237, 238, 238)",1.0
logos/ibc-solar.co.za.png,"(249, 229, 226)",1.0
logos/culliganflint.com.png,"(150, 180, 254)",1.0
logos/prioritymanagementscotland.co.uk.png,"(250, 242, 240)",1.0
logos/crif.hk.png,"(235, 239, 242)",1.0
logos/mitsubishielectric.com.cn.png,"(238, 231, 231)",1.0
logos/affidea.ba.png,"(195, 217, 237)",1.0
logos/sunnybrookprintshop.ca.png,"(185, 214, 156)",1.0
logos/crocs.co.nz.png,"(164, 203, 119)",1.0
logos/bbraun.pk.png,"(202, 239, 229)",1.0
logos/webster.nl.png,"(23, 87, 150)",1.0
logos/veka.fr.png,"(157, 203, 247)",1.0
logos/einhell.hr.png,"(221, 62, 78)",1.0
logos/airbnb.com.ar.png,"(254, 113, 117)",1.0
logos/aamcoescondido.com.png,"(118, 109, 134)",1.0
