Filepath,overall
logos/bcurelaser.com.png,0
logos/synergie.com.png,1
logos/luminishealthcareers.org.png,1
logos/linde-gas.sk.png,2
logos/savethechildren.org.uk.png,1
logos/ovb.ro.png,0
logos/mazda-autohaus-fritsche-grossschoenau.de.png,1
logos/honda-metz.com.png,1
logos/aamcoglendaleoldtown.com.png,3
logos/fmlogistic.cz.png,1
logos/mazda-autohaus-hamester-hamburg-bergedorf.de.png,1
logos/edenred.com.uy.png,1
logos/pkf-dominicana.com.png,1
logos/subway.com.tw.png,4
logos/fluidmasteruk.com.png,5
logos/toyotagocmenturk.com.tr.png,1
logos/aamcoalbuquerque.com.png,6
logos/toyota-magny.fr.png,1
logos/aamcocatonsvillemd.com.png,3
logos/nestle.se.png,1
logos/tanameracoffee.com.png,7
logos/stosignature.com.png,8
logos/pkf.com.tr.png,1
logos/servier.ru.png,9
logos/greatplacetowork.mu.png,10
logos/servier.com.ar.png,1
logos/axa.dz.png,11
logos/mazda-autohaus-hansmann-kassel.de.png,1
logos/veolia.bg.png,1
logos/aamcopottstownpa.com.png,3
logos/smittysmb.ca.png,1
logos/aquatherm-belux.be.png,1
logos/bakertilly.cl.png,1
logos/ibc-solar.co.za.png,1
logos/culliganflint.com.png,12
logos/prioritymanagementscotland.co.uk.png,1
logos/crif.hk.png,1
logos/mitsubishielectric.com.cn.png,1
logos/affidea.ba.png,1
logos/sunnybrookprintshop.ca.png,13
logos/crocs.co.nz.png,14
logos/bbraun.pk.png,1
logos/webster.nl.png,15
logos/veka.fr.png,16
logos/einhell.hr.png,10
logos/airbnb.com.ar.png,17
logos/aamcoescondido.com.png,3
logos/mazda-autohaus-torp-wilhelmshaven.de.png,1
logos/inductothermhw.com.png,1
logos/miniso.nc.png,1
logos/mitsubishi-motors.com.om.png,18
logos/mazda-autohaus-boehme-lutherstadt-wittenberg.de.png,1
logos/spitexgossau.ch.png,19
logos/daikinitalyshop.it.png,20
logos/h2oinnovation.mx.png,1
logos/kia-guadeloupe.com.png,1
logos/warmupdeutschland.de.png,1
logos/toyotaefe.com.tr.png,1
logos/roca.co.th.png,1
logos/cdviberica.com.png,1
logos/wwf.ro.png,1
logos/howdenoze.pl.png,1
logos/toyota.com.co.png,1
logos/aamcoredlandsca.com.png,21
logos/kia.co.sz.png,1
logos/toyotaquezonavenue.com.ph.png,22
logos/daikinqatar.com.png,1
logos/abilways.be.png,23
logos/julis-sachsenanhalt.de.png,24
logos/saint-gobain-glass.co.uk.png,1
logos/shimadzu-la.com.png,17
logos/duracell-me.com.png,1
logos/wedos.com.jpg,1
logos/ubicast.tv.png,25
logos/decathlon.cz.png,26
logos/menschenfuermenschen.at.png,27
logos/spitexrontalplus.ch.png,19
logos/nexi.hr.png,28
logos/kia-car-center-wismar.de.jpg,1
logos/howdenoze.pl.jpg,1
logos/bbraun.co.uk.png,29
logos/nutriciababy.be.png,1
logos/ymcawaycross.com.png,30
logos/jscosccha.com.png,0
logos/pilotpen.eu.png,31
logos/kia-car-center-wismar.de.png,1
logos/aamcomanassasva.com.png,3
logos/culligangrandisland.com.png,32
logos/mazdaofportcharlotte.com.png,1
logos/funiber.fr.png,1
logos/starkey.co.kr.png,33
logos/chicco.com.tw.png,34
logos/wedos.com.png,1
logos/kia.pt.png,0
logos/isover.cz.png,1
logos/ymcachicago.org.png,1
logos/reedglobal.com.tr.png,1
logos/idealindustries.cn.png,1
logos/pingusenglish.vn.png,1
logos/metlife.com.ar.png,1
logos/toyota-rillieux.fr.png,1
logos/gulfoilchina.com.png,35
logos/airbnb.be.png,17
logos/aamcohagerstownmd.com.png,3
logos/greatplacetowork.com.py.png,36
logos/mercyships.de.png,0
logos/amnesty.org.ph.png,1
logos/daikin-china.com.cn.png,20
logos/airbnb.ca.png,17
logos/childrenandteendentalfl.com.png,1
logos/medef-seine-estuaire.fr.png,37
logos/besins-healthcare.com.mx.png,20
logos/toysrus.pt.png,38
logos/culligantoledo.com.png,39
logos/intersport-crestvoland.com.png,0
logos/medef-htcis.com.png,37
logos/stoag.ch.png,1
logos/anadolumedicalcenter.al.png,40
logos/pragroup.se.png,41
logos/modshair-koeln-city.de.png,42
logos/melgarcases.com.png,1
logos/trakm8.cz.png,1
logos/tbwa.co.nz.png,43
logos/aamcoscottsdaleroad.com.png,3
logos/bizfilings.com.png,1
logos/rexel.it.png,1
logos/aamcoabingtonpa.com.png,3
logos/soneparthailand.com.png,1
logos/xwiftracingevents.be.png,1
logos/brother.cn.png,44
logos/sprachschule-aktiv-basel.ch.png,1
logos/pilotpen.com.au.png,1
logos/wurth.lk.png,1
logos/aamcoanaheim.net.png,3
logos/ecochillers.net.png,45
logos/mazda.com.tr.png,0
logos/aamcodovernj.com.png,3
logos/pkfea.com.png,1
logos/toyota.com.la.png,1
logos/cinnabon.com.tr.png,0
logos/honda.com.hk.png,1
logos/flashbay.no.png,1
logos/kiamarin.com.png,46
logos/culliganromeo.com.png,39
logos/linde-finance.com.png,2
logos/metlife.com.tr.png,1
logos/mazda-autohaus-roeser-grossmaischeid.de.png,1
logos/bbraun.com.vn.png,1
logos/infiniti.com.do.png,0
logos/mazdaoflodi.com.png,1
logos/mazdaofnorthmiami.com.png,1
logos/adeccome.com.png,10
logos/isover.ua.png,47
logos/ccusa.co.nz.png,1
logos/bestdrive.pl.png,48
logos/inductotherm.com.au.png,49
logos/spie-wirliebenkabel.de.png,1
logos/habitatbroward.org.png,50
logos/vbh.hr.png,51
logos/kind-der-stadt.at.png,1
logos/sto-sea.com.png,1
logos/bakertilly.lu.png,1
logos/mazda-autohaus-fenzl-hauzenberg.de.png,1
logos/intersport.sk.png,0
logos/spitex-muellheim.ch.png,19
logos/aonhewitt.com.cy.png,10
logos/bbraun.ru.png,1
logos/wurth.co.ke.png,1
logos/worldvision.al.png,52
logos/customneon.com.au.png,53
logos/aamcowestpalmbeach.com.png,3
logos/hertzhn.com.png,54
logos/aamcoclaymontde.com.png,3
logos/ringcontainers.co.uk.png,1
logos/movingstarsinc.com.png,1
logos/reedglobal.bg.png,55
logos/medef79.fr.png,37
logos/ardex.eu.png,1
logos/murrelektronik.sk.png,56
logos/analytik-jena.ru.png,1
logos/kiaofbillings.com.png,57
logos/duracell.in.png,1
logos/catsprotectionshop.co.uk.png,58
logos/axa.com.br.png,11
logos/wurth-international.com.cn.png,1
logos/murrelektronik.ro.png,56
logos/solatube.com.cn.png,1
logos/apolloclinicguwahati.co.in.png,1
logos/bimedasuramerica.com.png,59
logos/unitecnica-us.com.png,60
logos/garminstore.com.br.png,1
logos/saint-gobain.ru.png,7
logos/aamcoelcajon.com.png,3
logos/wuerth.co.th.png,1
logos/africell.ao.png,1
logos/aamconewwindsor.com.png,3
logos/foxinaboxbrisbane.com.png,61
logos/experian.co.uk.png,1
logos/astrazeneca.ua.png,1
logos/habitatns.ca.png,1
logos/invisalign.co.kr.png,62
logos/martinavenueshops.com.png,63
logos/kia-crimea.ru.png,1
logos/ford.pl.ua.png,64
logos/bauer-egypt.com.png,1
logos/tchibo.cz.png,0
logos/mazda-lodz-matsuoka.pl.png,0
logos/crif.pl.png,1
logos/bioderma.ec.png,1
logos/ford.dn.ua.png,64
logos/subaru.nc.png,65
logos/kalyanmachines.com.png,1
logos/mazdabali.co.id.png,1
logos/desjoyaux.com.cn.png,1
logos/ebay.fr.png,1
logos/aamcosuffolkva.com.png,3
logos/subaru.com.tr.png,1
logos/msd.es.png,1
logos/aamcophoenixcentral.com.png,3
logos/greatplacetowork.ch.png,36
logos/duracell.pl.png,1
logos/santillana.com.uy.png,1
logos/mazda-service-koch-ludwigsfelde.de.png,1
logos/toyotatokullar.com.tr.png,1
logos/aamcopinevillenc.com.png,6
logos/carter-benson.com.png,1
logos/domcortraffic.ca.png,1
logos/tensar.com.cn.png,1
logos/einhell.com.ar.png,10
logos/amway.com.do.png,0
logos/yonyou.com.hk.png,1
logos/shopee.co.th.png,1
logos/furuno.gr.png,1
logos/pearsonclinical.com.au.png,20
logos/daikinczech.cz.png,1
logos/zkteco.co.za.png,1
logos/spitex-regiokirchspiel.ch.png,19
logos/aamcoeastmesa.com.png,3
logos/analytik-jena.fr.png,1
logos/aamcofortlauderdale-dixiehwy.com.png,6
logos/bakertilly.com.ve.png,1
logos/aamcophilly-frankfordave.com.png,3
logos/mazda-service-metz-marne.de.png,1
logos/mazda-autocentrum-engin-holzminden.de.png,1
logos/orange.sn.png,52
logos/renault-tessenderlo.be.png,1
logos/murrelektronik.es.png,56
logos/mitsubishielectric.se.png,1
logos/aamcohightstownnj.com.png,3
logos/lindt.dk.png,1
logos/hertz.am.png,1
logos/siiora.org.png,1
logos/culliganchampaign.com.png,12
logos/statkraft.com.br.png,1
logos/remaxcrystal.com.png,1
logos/sonepar.com.sg.png,1
logos/julis-mfr.de.png,66
logos/boschautoparts.com.png,1
logos/nestle.do.png,1
logos/engie.nl.png,67
logos/adecco.com.vn.png,10
logos/equans.hu.png,1
logos/mazda.de.png,0
logos/svnnc.com.png,0
logos/nordicpharma.it.png,1
logos/linde-gas.ee.png,2
logos/bbraun.ph.png,1
logos/linde-gas.fi.png,2
logos/kiaofabilene.com.png,68
logos/intersport.si.png,1
logos/mazda-autohaus-hansmann-melsungen.de.png,1
logos/thebodyshop.ee.png,69
logos/vkf-renzel.cz.png,1
logos/secureparking.com.lb.png,1
logos/thebodyshop.fi.png,69
logos/toyotaaydogan.com.tr.png,1
logos/starbucks.in.png,70
logos/medicover.de.png,1
logos/shimadzumea.com.png,71
logos/mazda-autohaus-gerhard-figge-waldeck-hoeringhausen.de.png,1
logos/carglass.ma.png,72
logos/toyota.ae.png,10
logos/cdlcampina.org.br.png,73
logos/attijariwafabank.com.eg.png,74
logos/medef-seineetmarne.fr.png,37
logos/mazda-poznan-voyager.pl.png,1
logos/remax-go.com.ar.png,1
logos/orange.co.bw.png,75
logos/einhell.de.png,10
logos/budget.com.do.png,1
logos/tts-group.at.jpg,1
logos/mateco.bg.png,1
logos/aamcoconyersga.com.png,3
logos/honda-larochelle.com.png,1
logos/cfmoto.com.br.png,1
