Filepath,overall
logos/bcurelaser.com.png,11
logos/synergie.com.png,24
logos/luminishealthcareers.org.png,0
logos/linde-gas.sk.png,5
logos/savethechildren.org.uk.png,24
logos/ovb.ro.png,6
logos/mazda-autohaus-fritsche-grossschoenau.de.png,15
logos/honda-metz.com.png,24
logos/aamcoglendaleoldtown.com.png,15
logos/fmlogistic.cz.png,24
logos/mazda-autohaus-hamester-hamburg-bergedorf.de.png,1
logos/edenred.com.uy.png,24
logos/pkf-dominicana.com.png,15
logos/subway.com.tw.png,11
logos/fluidmasteruk.com.png,7
logos/toyotagocmenturk.com.tr.png,23
logos/aamcoalbuquerque.com.png,8
logos/toyota-magny.fr.png,0
logos/aamcocatonsvillemd.com.png,15
logos/nestle.se.png,0
logos/tanameracoffee.com.png,11
logos/stosignature.com.png,12
logos/pkf.com.tr.png,23
logos/servier.ru.png,11
logos/greatplacetowork.mu.png,21
logos/servier.com.ar.png,0
logos/axa.dz.png,6
logos/mazda-autohaus-hansmann-kassel.de.png,15
logos/veolia.bg.png,0
logos/aamcopottstownpa.com.png,15
logos/smittysmb.ca.png,22
logos/aquatherm-belux.be.png,23
logos/bakertilly.cl.png,0
logos/ibc-solar.co.za.png,22
logos/culliganflint.com.png,16
logos/prioritymanagementscotland.co.uk.png,0
logos/crif.hk.png,0
logos/mitsubishielectric.com.cn.png,0
logos/affidea.ba.png,23
logos/sunnybrookprintshop.ca.png,4
logos/crocs.co.nz.png,4
logos/bbraun.pk.png,23
logos/webster.nl.png,5
logos/veka.fr.png,16
logos/einhell.hr.png,21
logos/airbnb.com.ar.png,10
logos/aamcoescondido.com.png,15
logos/mazda-autohaus-torp-wilhelmshaven.de.png,1
logos/inductothermhw.com.png,0
logos/miniso.nc.png,24
logos/mitsubishi-motors.com.om.png,1
logos/mazda-autohaus-boehme-lutherstadt-wittenberg.de.png,1
logos/spitexgossau.ch.png,18
logos/daikinitalyshop.it.png,3
logos/h2oinnovation.mx.png,0
logos/kia-guadeloupe.com.png,0
logos/warmupdeutschland.de.png,0
logos/toyotaefe.com.tr.png,23
logos/roca.co.th.png,4
logos/cdviberica.com.png,0
logos/wwf.ro.png,0
logos/howdenoze.pl.png,4
logos/toyota.com.co.png,22
logos/aamcoredlandsca.com.png,1
logos/kia.co.sz.png,0
logos/toyotaquezonavenue.com.ph.png,8
logos/daikinqatar.com.png,0
logos/abilways.be.png,3
logos/julis-sachsenanhalt.de.png,8
logos/saint-gobain-glass.co.uk.png,0
logos/shimadzu-la.com.png,10
logos/duracell-me.com.png,0
logos/wedos.com.jpg,23
logos/ubicast.tv.png,3
logos/decathlon.cz.png,9
logos/menschenfuermenschen.at.png,5
logos/spitexrontalplus.ch.png,18
logos/nexi.hr.png,5
logos/kia-car-center-wismar.de.jpg,0
logos/howdenoze.pl.jpg,4
logos/bbraun.co.uk.png,18
logos/nutriciababy.be.png,4
logos/ymcawaycross.com.png,5
logos/jscosccha.com.png,6
logos/pilotpen.eu.png,9
logos/kia-car-center-wismar.de.png,0
logos/aamcomanassasva.com.png,15
logos/culligangrandisland.com.png,9
logos/mazdaofportcharlotte.com.png,13
logos/funiber.fr.png,23
logos/starkey.co.kr.png,11
logos/chicco.com.tw.png,15
logos/wedos.com.png,23
logos/kia.pt.png,14
logos/isover.cz.png,22
logos/ymcachicago.org.png,23
logos/reedglobal.com.tr.png,20
logos/idealindustries.cn.png,15
logos/pingusenglish.vn.png,23
logos/metlife.com.ar.png,13
logos/toyota-rillieux.fr.png,13
logos/gulfoilchina.com.png,8
logos/airbnb.be.png,10
logos/aamcohagerstownmd.com.png,15
logos/greatplacetowork.com.py.png,21
logos/mercyships.de.png,6
logos/amnesty.org.ph.png,0
logos/daikin-china.com.cn.png,3
logos/airbnb.ca.png,10
logos/childrenandteendentalfl.com.png,23
logos/medef-seine-estuaire.fr.png,20
logos/besins-healthcare.com.mx.png,3
logos/toysrus.pt.png,3
logos/culligantoledo.com.png,9
logos/intersport-crestvoland.com.png,6
logos/medef-htcis.com.png,20
logos/stoag.ch.png,0
logos/anadolumedicalcenter.al.png,9
logos/pragroup.se.png,1
logos/modshair-koeln-city.de.png,7
logos/melgarcases.com.png,23
logos/trakm8.cz.png,0
logos/tbwa.co.nz.png,19
logos/aamcoscottsdaleroad.com.png,15
logos/bizfilings.com.png,0
logos/rexel.it.png,23
logos/aamcoabingtonpa.com.png,15
logos/soneparthailand.com.png,0
logos/xwiftracingevents.be.png,13
logos/brother.cn.png,5
logos/sprachschule-aktiv-basel.ch.png,0
logos/pilotpen.com.au.png,0
logos/wurth.lk.png,22
logos/aamcoanaheim.net.png,15
logos/ecochillers.net.png,14
logos/mazda.com.tr.png,14
logos/aamcodovernj.com.png,15
logos/pkfea.com.png,23
logos/toyota.com.la.png,13
logos/cinnabon.com.tr.png,14
logos/honda.com.hk.png,24
logos/flashbay.no.png,24
logos/kiamarin.com.png,14
logos/culliganromeo.com.png,9
logos/linde-finance.com.png,5
logos/metlife.com.tr.png,13
logos/mazda-autohaus-roeser-grossmaischeid.de.png,15
logos/bbraun.com.vn.png,23
logos/infiniti.com.do.png,14
logos/mazdaoflodi.com.png,15
logos/mazdaofnorthmiami.com.png,23
logos/adeccome.com.png,21
logos/isover.ua.png,12
logos/ccusa.co.nz.png,0
logos/bestdrive.pl.png,12
logos/inductotherm.com.au.png,10
logos/spie-wirliebenkabel.de.png,0
logos/habitatbroward.org.png,9
logos/vbh.hr.png,17
logos/kind-der-stadt.at.png,0
logos/sto-sea.com.png,0
logos/bakertilly.lu.png,0
logos/mazda-autohaus-fenzl-hauzenberg.de.png,1
logos/intersport.sk.png,6
logos/spitex-muellheim.ch.png,18
logos/aonhewitt.com.cy.png,21
logos/bbraun.ru.png,23
logos/wurth.co.ke.png,0
logos/worldvision.al.png,2
logos/customneon.com.au.png,9
logos/aamcowestpalmbeach.com.png,15
logos/hertzhn.com.png,4
logos/aamcoclaymontde.com.png,15
logos/ringcontainers.co.uk.png,23
logos/movingstarsinc.com.png,20
logos/reedglobal.bg.png,6
logos/medef79.fr.png,20
logos/ardex.eu.png,0
logos/murrelektronik.sk.png,17
logos/analytik-jena.ru.png,0
logos/kiaofbillings.com.png,14
logos/duracell.in.png,0
logos/catsprotectionshop.co.uk.png,19
